run_json,block_started_at,dataset_class,observable_ports,unobservable_ports,frequency_mhz,configuration,dwell_us,round,control,method,origin_shift_us,maximum_phase_deg,maximum_gain_db,phase_closure_pass_diagnostic_only,base_window_phase_closure_pass,base_observation_ms,base_weighted_phase_rms_deg,report_status
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-20260908T171848.835237Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,2,False,past-only frozen,218.5,0.5330072415667098,0.6337478727003216,True,True,1.4948194068726222,4.37656817282022,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-20260908T171848.835237Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,2,False,past-only rolling 50 ms,218.5,0.4847566235968003,0.4627091775114344,True,True,50,0.7520571447850823,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-1000us-20260908T171903.465535Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,2,False,whole-record reference-labeled,0.5,0.8489472528273964,0.319633391263758,True,True,6.2775899983659835,1.911765137047544,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-1000us-20260908T171903.465535Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,2,False,past-only frozen,0.5,4.602682895926747,1.531317646330415,False,False,6.278008305469307,2.5696253560547158,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-1000us-20260908T171903.465535Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,2,False,past-only rolling 50 ms,0.5,0.8267925697789706,0.3415150252622337,True,True,50,0.7344574327206654,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-20260908T171918.291318Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,False,whole-record reference-labeled,219.50000000000003,0.6264361158511422,0.5754158604395825,True,True,1.4949356623171757,4.612854027227184,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-20260908T171918.291318Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,False,past-only frozen,219.50000000000003,39.28926810613987,13.485044295017762,False,False,1.4950414696609065,65.38833025796484,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-20260908T171918.291318Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,False,past-only rolling 50 ms,219.50000000000003,0.6421507721288642,0.3850138598117191,True,True,50,0.7454542270476533,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-control-20260908T171927.665074Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,True,whole-record reference-labeled,220.0,0.8463154605328894,0.4962008220920151,True,True,1.4949304276574746,5.0348471542149795,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-control-20260908T171927.665074Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,True,past-only frozen,220.0,166.65722307587654,7.068116529602061,False,False,1.494837008040008,37.038200589159416,analyzed
