run_json,frequency_mhz,port,gain_db,amplitude,phase_rms_10ms_deg,coherence
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT1-20260908T171601.050210Z/run.json,2475.0,ANT1,40,0.03025740760719608,0.5136715273883586,0.5526160554229431
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT2-20260908T171622.311096Z/run.json,2475.0,ANT2,40,0.013372427984709388,0.6606945025868837,0.46529772093446725
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT4-20260908T171642.695893Z/run.json,2475.0,ANT4,40,0.010493274779933132,0.921208091068006,0.3862254890987012
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT5-20260908T171741.992629Z/run.json,2475.0,ANT5,40,0.003391565801822639,2.57009994901049,0.13623080981850297
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT7-20260908T171728.117352Z/run.json,2475.0,ANT7,40,0.008438393546871146,1.3840179253954394,0.3144729559384219
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-ref-before-ANT8-20260908T171705.027648Z/run.json,2475.0,ANT8,40,0.02065110696799984,0.786721793896677,0.4757977836095617
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT1-20260908T223010.577296Z/run.json,5811.0,ANT1,60,0.0009998438457512727,16.078004245954208,0.0203129159581137
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT2-20260908T222946.591725Z/run.json,5811.0,ANT2,60,0.00550618942743156,2.515920381122324,0.12114022910895399
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT4-20260908T222923.059308Z/run.json,5811.0,ANT4,60,0.002527670998086539,5.144048682939712,0.05802109126129808
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT5-20260908T222840.178642Z/run.json,5811.0,ANT5,60,0.001990172783797729,7.201064444071958,0.045803492903881374
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT7-20260908T222853.960938Z/run.json,5811.0,ANT7,60,0.0035318941566149804,4.0960189712554635,0.07844792688513841
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-after-ANT8-20260908T222908.271104Z/run.json,5811.0,ANT8,60,0.0029257546425049846,5.020669844912119,0.06373956715675094
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT1-20260908T222235.445422Z/run.json,5811.0,ANT1,60,0.0010740714649465676,13.519650353469412,0.021119200559250796
