block,frequency_hz,configuration,dwell_us,round,main_phase_rms_deg,control_phase_rms_deg,phase_rms_difference_deg,pair_phase_gain_bracket_pass,main_run_json,control_run_json
block-20260911T215918963889Z,5811000000,D,1000,2,8.170574603824338,9.24484225193881,-1.0742676481144713,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r2-D-1000us-20260911T220331.040277Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r2-A-1000us-control-20260911T220441.950351Z/run.json
block-20260911T215918963889Z,5811000000,D,200,2,9.425675493549509,9.179293299411926,0.246382194137583,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r2-D-200us-20260911T220417.829038Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r2-A-200us-control-20260911T220427.572572Z/run.json
block-20260911T215918963889Z,5811000000,D,200,3,9.09013959957438,8.761492902609659,0.3286466969647215,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r3-D-200us-20260911T220505.953093Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r3-A-200us-control-20260911T220456.627449Z/run.json
block-20260911T215918963889Z,5811000000,D,1000,3,8.081545563565522,8.572377971244473,-0.4908324076789512,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r3-D-1000us-20260911T220521.707630Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T215918963889Z-r3-A-1000us-control-20260911T220552.418461Z/run.json
block-20260911T220948222664Z,5811000000,B,1000,1,8.273850496131725,9.449575072674175,-1.17572457654245,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r1-B-1000us-20260911T221242.979927Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r1-A-1000us-control-20260911T221157.290723Z/run.json
block-20260911T220948222664Z,5811000000,B,200,1,9.899505900648096,9.158870692703779,0.740635207944317,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r1-B-200us-20260911T221307.250752Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r1-A-200us-control-20260911T221258.267648Z/run.json
block-20260911T220948222664Z,5811000000,B,1000,2,7.7676590137461945,8.371750781174553,-0.6040917674283586,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r2-B-1000us-20260911T221354.880685Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r2-A-1000us-control-20260911T221505.939329Z/run.json
block-20260911T220948222664Z,5811000000,B,200,2,13.568158854502181,14.497657737227659,-0.9294988827254773,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r2-B-200us-20260911T221441.212724Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r2-A-200us-control-20260911T221451.171138Z/run.json
block-20260911T220948222664Z,5811000000,B,200,3,14.065141426157354,14.182433662523312,-0.11729223636595876,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r3-B-200us-20260911T221530.562743Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r3-A-200us-control-20260911T221520.956212Z/run.json
block-20260911T220948222664Z,5811000000,B,1000,3,9.169996493666082,8.026115464922443,1.143881028743639,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r3-B-1000us-20260911T221545.931017Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/block-20260911T220948222664Z-r3-A-1000us-control-20260911T221616.225574Z/run.json
block-20260911T182124128635Z,915000000,D,200,1,0.6610546857633017,0.9160066431886179,-0.2549519574253162,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r1-D-200us-20260911T182335.622343Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r1-A-200us-control-20260911T182415.609517Z/run.json
block-20260911T182124128635Z,915000000,D,1000,1,1.0172501272718728,0.6689262545836699,0.34832387268820286,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r1-D-1000us-20260911T182350.795060Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r1-A-1000us-control-20260911T182400.877050Z/run.json
block-20260911T182124128635Z,915000000,D,1000,2,1.0868545967747096,1.0937896953664201,-0.006935098591710487,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r2-D-1000us-20260911T182439.660636Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r2-A-1000us-control-20260911T182511.830097Z/run.json
block-20260911T182124128635Z,915000000,D,200,2,1.2027534328920766,0.8678264292755296,0.33492700361654704,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r2-D-200us-20260911T182456.345297Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r2-A-200us-control-20260911T182424.821280Z/run.json
block-20260911T182124128635Z,915000000,D,1000,3,1.2526561652649228,1.0663740595273905,0.18628210573753234,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r3-D-1000us-20260911T182522.569112Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r3-A-1000us-control-20260911T182533.682709Z/run.json
block-20260911T182124128635Z,915000000,D,200,3,1.1606836099038882,1.1714784869089874,-0.01079487700509918,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r3-D-200us-20260911T182557.383425Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182124128635Z-r3-A-200us-control-20260911T182548.325405Z/run.json
block-20260911T182851799643Z,915000000,B,200,1,0.5660072649151412,1.2504966781811124,-0.6844894132659712,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r1-B-200us-20260911T183101.452874Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r1-A-200us-control-20260911T183143.051260Z/run.json
block-20260911T182851799643Z,915000000,B,1000,1,0.9578641768161605,1.0003995494605817,-0.0425353726444212,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r1-B-1000us-20260911T183117.542728Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r1-A-1000us-control-20260911T183128.373694Z/run.json
block-20260911T182851799643Z,915000000,B,1000,2,1.2361401935084941,1.4651923926907942,-0.22905219918230002,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r2-B-1000us-20260911T183207.170434Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r2-A-1000us-control-20260911T183239.972773Z/run.json
block-20260911T182851799643Z,915000000,B,200,2,1.3841493428813267,1.002152307521304,0.38199703536002283,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r2-B-200us-20260911T183223.723595Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r2-A-200us-control-20260911T183152.295527Z/run.json
block-20260911T182851799643Z,915000000,B,1000,3,1.5854349288720349,1.5069094016366418,0.07852552723539308,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r3-B-1000us-20260911T183249.720906Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r3-A-1000us-control-20260911T183301.286086Z/run.json
block-20260911T182851799643Z,915000000,B,200,3,1.3481270091612991,1.576566118138705,-0.22843910897740582,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r3-B-200us-20260911T183325.540189Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T182851799643Z-r3-A-200us-control-20260911T183315.941722Z/run.json
