block,configuration,dwell_us,main_attempts,main_passes,three_independent_main_trials,control_attempts,control_passes,controls_complete,controls_pass,bracket_pass,clean_condition_pass,frequency_hz,bearing_passes,joint_main_passes,clean_phase_and_bearing,base_rms_deg_reported_trials,base_rms_deg_median,base_rms_deg_max,bearing_rms_deg_reported_trials,bearing_rms_deg_median,bearing_rms_deg_max,bearing_valid_percent_reported_trials,bearing_valid_percent_median,bearing_valid_percent_max,p95_compute_ms_reported_trials,p95_compute_ms_median,p95_compute_ms_max
block-20260911T182851799643Z,B,200,3,2,True,6,5,True,False,True,False,915000000,0,0,False,3,1.3481270091612991,1.3841493428813267,3,0.5505521218960061,0.5569011482223313,3,0.0,0.0,3,289.1935972846113,298.3997686300427
block-20260911T182851799643Z,B,1000,3,3,True,6,5,True,False,True,False,915000000,0,0,False,3,1.2361401935084941,1.5854349288720349,3,0.38843972076343275,0.4118682030300255,3,0.0,0.0,3,234.9219637340866,244.7417363524437
block-20260911T182124128635Z,D,200,3,3,True,6,6,True,True,True,True,915000000,0,0,False,3,1.1606836099038882,1.2027534328920766,3,0.3836954811086403,0.479782213362731,3,0.0,0.0,3,297.14067698223516,311.15549930837005
block-20260911T182124128635Z,D,1000,3,3,True,6,6,True,True,True,True,915000000,0,0,False,3,1.0868545967747096,1.2526561652649228,3,0.3424787098021664,0.5020098493994637,3,0.0,0.0,3,247.8614789317362,254.0837436215952
block-20260911T184646814791Z,B,25,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,25.044475662196344,96.99827250060096,3,37.27652934811941,84.74859130571024,3,0.0,0.0,3,538.7688992894255,572.49080108013
block-20260911T184646814791Z,B,50,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,21.361617602616132,85.85925933890185,3,19.86378699505982,82.87424386913699,3,0.0,0.0,3,483.6432166979648,615.7653757603839
block-20260911T184646814791Z,B,100,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,2.560100469030383,66.68358279762025,3,3.2127437379646193,60.683644034165454,3,0.0,0.0,3,538.1877378327772,899.4267424801361
block-20260911T184646814791Z,B,200,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,2.8125663110752335,3.0894808009650467,3,1.639910237495087,1.7653886975316222,3,0.0,0.0,3,546.5623084106483,979.998161096591
block-20260911T184646814791Z,B,1000,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,2,3.677956564428416,5.882818070567877,2,11.753455615090127,21.910039211630174,2,0.0,0.0,3,919.5945401326753,949.1314388462342
block-20260911T183613359169Z,D,25,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,90.39043465052836,102.13818877719685,3,89.06752214234278,89.91177318158218,3,0.0,0.0,3,521.6194764594547,555.4745788918808
block-20260911T183613359169Z,D,50,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,35.21030360394416,81.86209595628033,3,14.486548509808536,60.0596459176665,3,0.0,0.0,3,503.2109934021719,504.64317384175956
block-20260911T183613359169Z,D,100,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,51.11947930610453,52.32525695460511,3,48.60153877023752,72.40071049962611,3,0.0,0.0,3,491.31360130850226,512.4351287027821
block-20260911T183613359169Z,D,200,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,2,5.216699179460192,7.9428702639993904,2,7.24281982068384,12.30190872762218,2,0.0,0.0,3,509.7101239138283,536.7255747900344
block-20260911T183613359169Z,D,1000,3,0,True,6,0,True,False,False,False,2475000000,0,0,False,3,6.3332764861351025,19.72763748365729,3,9.6228147206219,14.509795121184396,3,0.0,0.0,3,909.9567016703077,952.6056724367662
block-20260911T212846818552Z,B,25,3,0,True,6,6,True,True,True,False,5800000000,0,0,False,3,53.81879407482816,57.90121469660903,3,85.32834120376464,87.23765911142337,3,1.6666666666666667,1.6666666666666667,3,544.5267549832352,552.8366261278279
block-20260911T212846818552Z,B,50,3,0,True,6,6,True,True,True,False,5800000000,0,0,False,3,13.2903861929219,14.057015514566682,3,74.05310826517422,78.29094426896123,3,0.0,0.0,3,552.9455046751535,555.2369846147485
block-20260911T212846818552Z,B,100,3,0,True,6,6,True,True,True,False,5800000000,0,0,False,0,,,0,,,0,,,1,554.6971666975878,554.6971666975878
block-20260911T212846818552Z,B,200,3,3,True,6,6,True,True,True,True,5800000000,0,0,False,3,7.683639330733973,7.800278211033641,3,54.07944836495202,63.697579034763756,3,0.0,0.0,3,593.8423674553633,609.8686810000798
