frequency_hz,tx_port,status,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json,run_sha256
5735000000.0,TX2,analyzed,47.808,160.75,True,23.6225940336943,161.0,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5735000000-tx2-20260911T222332.395494Z/run.json,4d7fe0ec77008c60566a2e22c5cbaa60597d3206ce2f91988f5819ca5ab4a6f6
5736000000.0,TX1,analyzed,47.808,264.5,False,61.012058697573494,264.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5736000000-tx1-20260911T222342.518651Z/run.json,e2595b5805cd582106ca835fce0398ec54af8c1860f7e5c0cfeb3c57ffb287ce
5736000000.0,TX2,analyzed,23.904,161.0,True,23.182630909709705,161.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5736000000-tx2-20260911T222352.766599Z/run.json,607c7b317f979437c1395cc7baa0068e48bf2a7f9ceeb17848b2270b2e0d285f
5737000000.0,TX1,analyzed,95.616,82.75,False,47.96369494419091,83.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5737000000-tx1-20260911T222402.529378Z/run.json,3ac7c4236e4b511f057fd32ad35bcdb06cb34f093d3edab2d7aa8c24f182616b
5737000000.0,TX2,analyzed,47.808,160.0,True,19.98186774374097,160.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5737000000-tx2-20260911T222413.141349Z/run.json,7bc443341d691b688b253aaa2b23b423ac472921d751328fc5f2d8953575d922
5738000000.0,TX1,analyzed,47.808,263.75,False,60.67307348486269,263.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5738000000-tx1-20260911T222423.173366Z/run.json,c05af82b12a61a01639402bae43c0a8584e9cc967960634f8e623332143b5a36
5738000000.0,TX2,analyzed,23.904,160.25,True,20.326120512742722,160.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5738000000-tx2-20260911T222433.786164Z/run.json,1d871becc7fbb436bb1f63708ec94146de721f9f852a59ec4138c10bcf94870e
5739000000.0,TX1,analyzed,47.808,263.5,False,56.16551357925138,263.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5739000000-tx1-20260911T222445.168724Z/run.json,96f9c822b6b5ef6479a19ac55b316ad64fd7dcb36371248b7a2ea92c5f6d2786
5739000000.0,TX2,analyzed,23.904,159.75,True,18.413617758215246,160.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5739000000-tx2-20260911T222456.813182Z/run.json,e268d8a2df49adc85af060cd12b37b2181eeb788c4610eb8a8e676b2040ecaff
5740000000.0,TX1,analyzed,47.808,264.75,False,50.815932848896956,264.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5740000000-tx1-20260911T222506.854012Z/run.json,cbaa52d66006fa09a0228be3075a6c1bbe0be366d7fdabc6f11e0fe78cfad096
