id,label,started_at,frequency_hz,configuration,status,switched_attempts,reference_attempts,restored,bracket_pass,observable_ports,unobservable_ports,recipe_bound
block-20260911T211805001077Z,5800 MHz / D / 21:18:05,2026-09-11T21:18:05.001120+00:00,5800000000,D,diagnostic-complete,21,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T212846818552Z,5800 MHz / B / 21:28:46,2026-09-11T21:28:46.818581+00:00,5800000000,B,diagnostic-complete,21,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T215918963889Z,5811 MHz / D / 21:59:18,2026-09-11T21:59:18.963921+00:00,5811000000,D,diagnostic-complete,21,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T220948222664Z,5811 MHz / B / 22:09:48,2026-09-11T22:09:48.222694+00:00,5811000000,B,diagnostic-complete,21,24,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T182124128635Z,915 MHz / D / 18:21:24,2026-09-11T18:21:24.128691+00:00,915000000,D,diagnostic-complete,12,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T182851799643Z,915 MHz / B / 18:28:51,2026-09-11T18:28:51.799674+00:00,915000000,B,diagnostic-complete,12,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T183613359169Z,2475 MHz / D / 18:36:13,2026-09-11T18:36:13.359227+00:00,2475000000,D,diagnostic-complete,21,24,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T184646814791Z,2475 MHz / B / 18:46:46,2026-09-11T18:46:46.814821+00:00,2475000000,B,diagnostic-complete,21,24,True,False,ANT1 ANT2 ANT4 ANT8 ANT5,ANT7,True
