block,run_json,configuration,dwell_us,round,control,any_window_pass,first_phase_pass_ms,error,common_rotation_deg,gain_error_db,maximum_observable_gain_error_db,maximum_observable_phase_bias_deg,passed,raw_phase_bias_deg,relative_phase_bias_deg,weighted_phase_bias_deg,frequency_hz
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-A-1000us-control-20260911T212014.464734Z/run.json,A,1000,1,True,True,50.20266511610074,,0.5389066087453779,"[-0.02039380833054331, -0.27208900044676515, -0.22062219601321628, -0.651596547886743, -0.2770574310622949, -0.12563047569701719]",0.651596547886743,1.641898103610208,True,"[0.2226450363882009, 2.1808047123555854, 2.078922005741344, 1.1845794499071014, -0.2985185715628622, -0.16121381138436147]","[-0.316261572357177, 1.641898103610208, 1.540015396995966, 0.6456728411617235, -0.8374251803082401, -0.7001204201297393]",0.7072055402053252,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-50us-20260911T212029.440828Z/run.json,D,50,1,False,False,200.24809334568178,,-2.4624330720129683,"[-1.9145785418909744, -3.280902613900629, -2.780833653370935, -2.0027989210339636, -1.2426930307156208, -2.533933275449252]",3.280902613900629,12.6894288548726,False,"[-1.2563898444805943, -15.15186192688557, 0.28111382532036516, -5.872975250626086, -2.096501807863076, -4.828626223485768]","[1.2060432275323736, -12.6894288548726, 2.7435468973333337, -3.410542178613118, 0.3659312641498925, -2.3661931514728005]",2.9793544498960225,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-A-200us-control-20260911T212046.291502Z/run.json,A,200,1,True,True,50.80282829315959,,-0.2326582945646134,"[-0.041723817925491596, -0.0972051428718336, -0.07289478832909212, -0.14909521055621872, -0.0947927721886205, -0.3251437613376151]",0.3251437613376151,2.9582630842881588,True,"[-0.3124236536618994, 2.5075364874147734, 1.2940125333725008, -3.1909213788527726, 1.5484420247504456, 1.4515631926047132]","[-0.07976535909728599, 2.7401947819793873, 1.5266708279371142, -2.9582630842881588, 1.781100319315059, 1.6842214871693264]",1.4062675309979549,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-1000us-20260911T212100.691616Z/run.json,D,1000,1,False,False,50.20485962431176,,0.6717597816646074,"[-0.1282215417171167, -1.2452565505162245, -0.29489486103588375, -0.2788908527694527, 0.022196312006218803, -0.7035530436611682]",1.2452565505162245,5.073386719408096,False,"[1.0171722870445976, -3.785353081787722, 0.37141200692969084, 0.006436926132989916, 5.745146501072704, -2.1891070273547326]","[0.3454125053799904, -4.45711286345233, -0.3003477747349166, -0.6653228555316175, 5.073386719408096, -2.8608668090193397]",1.6177671963303304,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-25us-20260911T212116.850242Z/run.json,D,25,1,False,False,,,-4.146131425209204,"[-3.0855580049329805, -4.915049477187513, -2.9813423562658663, -3.6640562194787774, -1.9963810384868217, -3.4319220611798484]",4.915049477187513,34.61913750469866,False,"[-0.06061024900510719, -38.76526892990786, -2.5606303757181252, -10.377338553850104, -11.820225955499343, -10.256346755599798]","[4.0855211762040975, -34.61913750469866, 1.585501049491079, -6.231207128640899, -7.674094530290137, -6.110215330390593]",7.800755651662364,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-100us-20260911T212132.387070Z/run.json,D,100,1,False,False,,,31.947337290482956,"[-15.29520758050431, -7.040091480153199, 6.844797656738858, -7.174163430552666, 2.15316886095068, 0.9883102871659353]",15.29520758050431,116.20355602017158,False,"[47.27243122976202, -84.25621872968863, 6.697990257033117, 24.46393128179271, -35.19328846289885, 4.2548686005358425]","[15.325093939279064, -116.20355602017158, -25.24934703344984, -7.483406008690249, -67.1406257533818, -27.692468689947113]",30.552722782670898,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-200us-20260911T212148.007101Z/run.json,D,200,1,False,False,,,7.51304605307476,"[-13.257364092854704, 9.637885840209083, -4.270981868693246, -3.868825338342944, 2.2323333262019758, -1.7133424410793643]",13.257364092854704,98.39232089327133,False,"[17.35061488689798, -90.87927484019657, 46.53762515958361, -56.896858026686694, 24.39182355071225, -17.10986869947777]","[9.837568833823216, -98.39232089327133, 39.024579106508845, -64.40990407976146, 16.87877749763749, -24.62291475255252]",33.58301666162424,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-A-1000us-control-20260911T212203.743937Z/run.json,A,1000,2,True,True,50.200552024414165,,-0.7154257945773747,"[-0.08523371777303494, 0.22182461907924336, 0.2737409105067168, -0.0073435482705409075, 0.42497417625791867, -0.2099010569029183]",0.42497417625791867,2.218744418406668,True,"[-0.742750036054343, -2.476612182490107, -0.18080047294474283, -2.3102994794936325, 1.5033186238292935, 1.1134860086376277]","[-0.027324241476968304, -1.761186387912732, 0.5346253216326319, -1.5948736849162581, 2.218744418406668, 1.828911803215002]",0.9676209786988113,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-D-25us-20260911T212218.176396Z/run.json,D,25,2,False,False,,,-4.4762915468472615,"[-5.889299807922814, -2.059799450405219, -5.209832775344743, -5.8103871319246805, -2.220556626640456, -4.780499772741505]",5.889299807922814,49.385892174729484,False,"[-0.3285418466651015, -53.86218372157674, 6.880149957789966, -21.19358889778952, 7.779400602861999, -13.675721664342209]","[4.1477497001821595, -49.385892174729484, 11.356441504637226, -16.71729735094226, 12.25569214970926, -9.199430117494947]",12.396483315219081,5800000000
block-20260911T211805001077Z,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-D-100us-20260911T212234.115154Z/run.json,D,100,2,False,False,50.20354084292929,,-1.2548730817410845,"[-0.21888491954927375, -1.2310584056320444, -0.1408988525699201, -0.3667493813013522, 0.2181394994818965, -0.5116499763307764]",1.2310584056320444,4.058771217426006,False,"[-1.6298987756095673, -4.509678659460921, 2.8038981356849217, -1.1383097658815426, -0.49715508402017766, -2.6605623209273386]","[-0.375025693868483, -3.2548055777198357, 4.058771217426006, 0.1165633158595418, 0.7577179977209068, -1.4056892391862539]",1.4739692976719099,5800000000
