configuration,port,relative_phase_drift_deg,gain_drift_db,observable
A,ANT1,-7.251319393285158,0.75593023466469,True
A,ANT2,0.24192124822471953,-0.012888445753866069,True
A,ANT4,-0.823169719990189,0.030729533921498797,True
A,ANT8,-0.5076708762871871,0.4701050567921864,True
A,ANT7,0.6475481465532524,0.06310356231849276,True
A,ANT5,0.4629976877992906,0.14408741522003182,True
B,ANT1,10.553504117198575,1.7835096687515328,True
B,ANT2,-3.6615979702395403,0.34055707019035425,True
B,ANT4,-0.14391559728705725,0.5837104347610687,True
B,ANT8,-2.654811224418895,-0.04980988946832211,True
B,ANT7,8.10187501366825,-0.007931891046606746,True
B,ANT5,0.28982797282124495,-0.22710739107490666,True
D,ANT1,5.517734362070438,-0.6780019525862664,True
D,ANT2,3.9829595742176243,-0.5477983828994717,True
D,ANT4,-2.3250987043088407,0.11960914432990666,True
D,ANT8,-2.6824003847261384,0.47882207508881314,True
D,ANT7,-1.508415800564804,0.028226661560864643,True
D,ANT5,-7.359463202371393,-0.37621030287167645,True
