configuration,position,port,transfer_amplitude,phase_rms_10ms_deg,coherence,frozen_weight,observable,run_json
B,before,ANT7,0.00336958372765061,4.610504114103503,0.07137467825434163,0.2064860763221705,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-B-ANT7-20260908T071439.185896Z/run.json
B,before,ANT5,0.0020050089228175545,7.095155494966508,0.04519265960710307,0.07420472071287906,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-B-ANT5-20260908T071452.366870Z/run.json
D,before,ANT1,0.0005767756308266755,30.363640973883818,0.009022820746466556,0.004856779269690009,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT1-20260908T071505.982465Z/run.json
D,before,ANT2,0.004752864828769046,3.2059175347092546,0.0755410232504968,0.40016963902304875,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT2-20260908T071519.210389Z/run.json
D,before,ANT4,0.0034271483072867803,3.957218396929185,0.0578379871878757,0.2225139630784298,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT4-20260908T071533.099978Z/run.json
D,before,ANT8,0.002198034791520678,6.058909924109264,0.037174225386968573,0.09176882159378176,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT8-20260908T071547.153303Z/run.json
D,before,ANT7,0.0034688453375425867,3.951400565648781,0.0552126026608641,0.2064860763221705,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT7-20260908T071601.240615Z/run.json
D,before,ANT5,0.002133055230169884,6.2885943989879065,0.033838614506547286,0.07420472071287906,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-D-ANT5-20260908T071614.444844Z/run.json
A,after,ANT1,0.000549565049340533,31.528236810375567,0.011698407338758252,0.004856779269690009,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT1-20260908T072642.842730Z/run.json
A,after,ANT2,0.004565896427754138,2.8896342836530966,0.1073409541455756,0.40016963902304875,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT2-20260908T072657.478702Z/run.json
A,after,ANT4,0.0034218701192453155,4.062407114045428,0.08032674255147504,0.2225139630784298,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT4-20260908T072713.020686Z/run.json
A,after,ANT8,0.0023115390821285093,6.12959742080658,0.054392287020229316,0.09176882159378176,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT8-20260908T072726.911260Z/run.json
A,after,ANT7,0.003308635874419223,4.126730250902139,0.07809007204393092,0.2064860763221705,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT7-20260908T072740.229061Z/run.json
A,after,ANT5,0.0020020206304992667,6.813603977625144,0.047131131693243525,0.07420472071287906,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT5-20260908T072752.809759Z/run.json
B,after,ANT1,0.0004896313318063268,32.70587929635853,0.010414986880507142,0.004856779269690009,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT1-20260908T072807.472025Z/run.json
B,after,ANT2,0.004729677498076724,3.1062432126983124,0.10087650540651733,0.40016963902304875,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT2-20260908T072825.359062Z/run.json
B,after,ANT4,0.0036103034168309686,3.905562485040512,0.07585901080397617,0.2225139630784298,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT4-20260908T072842.522182Z/run.json
B,after,ANT8,0.0022963855906442034,6.2480468857713305,0.05138960106026821,0.09176882159378176,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT8-20260908T072857.726606Z/run.json
B,after,ANT7,0.0033665080529300647,4.5378713690487675,0.07569786075586586,0.2064860763221705,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT7-20260908T072918.588447Z/run.json
B,after,ANT5,0.001953263974532367,7.10815350441096,0.04386574833015884,0.07420472071287906,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-B-ANT5-20260908T072938.192712Z/run.json
D,after,ANT1,0.0005334660736640776,32.079286564238885,0.008354542463568404,0.004856779269690009,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT1-20260908T072954.821630Z/run.json
D,after,ANT2,0.004462369658796007,2.9399185196174664,0.07510058022535791,0.40016963902304875,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT2-20260908T073012.863645Z/run.json
D,after,ANT4,0.003474668329519225,4.736658392576994,0.05560107615039886,0.2225139630784298,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT4-20260908T073031.400695Z/run.json
D,after,ANT8,0.0023226066550917886,6.5606845923255985,0.03696024121208129,0.09176882159378176,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT8-20260908T073049.748282Z/run.json
D,after,ANT7,0.003480136431036072,3.853727670885182,0.055832764109152305,0.2064860763221705,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT7-20260908T073109.408550Z/run.json
D,after,ANT5,0.0020426388392213333,7.252021714459312,0.03268646798916326,0.07420472071287906,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-D-ANT5-20260908T073128.006148Z/run.json
