configuration,dwell_us,round,control,method,leading_discard_us,sample_count,phase_pass_ms,weighted_phase_bias_deg,maximum_observable_phase_bias_deg,maximum_gain_error_db,passed,run_json
B,100,1,False,native_refined,2,463.0,50.21624159690881,3.1164025587302358,5.970493025339058,0.5941895700665532,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
B,100,1,False,native_refined,5,448.0,50.21624159690881,3.059863536175577,5.1552665851679125,0.7254761766700352,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
B,100,1,False,native_refined,10,423.0,50.21624159690881,3.1140235146465467,5.385489530978123,0.6700771288965888,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
B,100,1,False,native_refined,15,398.0,50.21624159690881,3.108260501362985,5.359312155589499,0.6972037788983743,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
B,100,1,False,native_refined,20,373.0,50.21624159690881,3.251105483012357,6.182173522189665,1.2458307067228986,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
B,100,1,False,native_refined,30,323.0,50.21624159690881,3.3296020782606255,8.440113186125139,1.3123835702921636,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-100us-20260908T071738.542121Z/run.json
A,100,1,False,legacy,0,188.0,100.44573820605522,3.141598448863129,28.64949547829337,4.266277117633579,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,1,186.0,100.44573820605522,3.0703745751146743,28.003768903247305,3.9955421460240763,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,2,184.0,100.44573820605522,2.9461325087712487,26.906287346831807,4.138193656762612,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,5,178.0,100.44573820605522,2.7454113440503067,24.63985507783052,3.8752517138979803,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,10,168.0,100.44573820605522,2.6080245528480903,20.037089473979602,3.741539443512833,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,15,158.0,100.44573820605522,2.4918183405288903,22.18405920831309,3.673737914743198,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
