configuration,dwell_us,round,integration_ms,cycles,groups,active_per_port_ms,weighted_phase_rms_deg,passed,run_json
A,100,1,400.88611587595256,447,9,39.783,5.75414555262521,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
B,50,1,0.5977531029510608,1,6691,0.0396,82.981214296192,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,1.1955062059021215,2,3345,0.0792,63.04814669481958,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,2.391012411804243,4,1672,0.1584,52.47223194084,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,5.379777926559547,9,743,0.3564,32.511505317041106,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,10.161802750168032,17,393,0.6732,25.63292705689101,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,20.323605500336065,34,196,1.3464,16.31036890316179,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,50.211260647889105,84,79,3.3264,10.58005481919518,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,100.42252129577821,168,39,6.6528,8.0021098020326,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,200.24728948860536,335,19,13.266,6.658123075464191,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,400.4945789772107,670,9,26.532,4.015779205543506,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
A,50,1,0.5978320766658323,1,6690,0.0395,90.09995838580417,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,1.1956641533316645,2,3345,0.079,69.27768958093135,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,2.391328306663329,4,1672,0.158,60.67602878323716,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,5.38048868999249,9,743,0.35550000000000004,39.784539414094496,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,10.163145303319148,17,393,0.6715,32.765073255946646,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,20.326290606638295,34,196,1.343,22.8061771789138,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
