dwell_us,frequency_hz,tx_port,port,observable,single_visit_coherent_snr_db,full_capture_reference_magnitude,qualified_cycles,qualified_measured_wall_latency_ms,phase_rms_at_weighted_10deg_gate_deg,run_json
200,5726000000,TX1,ANT1,True,-4.9338172845523305,72.35732307473381,16,23.904,17.994680186131564,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX1,ANT2,True,3.8914699521212457,185.87157292191222,16,23.904,5.78430099337587,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX1,ANT4,True,0.23927564790673442,124.15064938324181,16,23.904,8.561494073985257,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX1,ANT8,False,-34.62829823658362,2.233535969141319,16,23.904,100.47281038261991,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX1,ANT7,True,-4.119842990481147,75.3029533991957,16,23.904,13.42340841033398,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX1,ANT5,True,-0.38854135024977354,109.37084896687655,16,23.904,9.352601144536223,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T205222.157022Z/run.json
200,5726000000,TX2,ANT1,True,7.24593472251775,320.814979124529,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5726000000,TX2,ANT2,True,4.461322329851577,213.86926516875974,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5726000000,TX2,ANT4,True,10.473985724897062,599.5461619891998,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5726000000,TX2,ANT8,True,15.49460163677811,865.0188345536267,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5726000000,TX2,ANT7,True,5.680748449601055,427.62208329576345,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5726000000,TX2,ANT5,True,3.7330142390728134,371.76619060274936,,,,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T205234.572715Z/run.json
200,5727000000,TX1,ANT1,True,-4.617238315265804,74.01719996113884,16,23.904,16.357679049766595,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX1,ANT2,True,4.178025781119375,184.3270683833925,16,23.904,5.322331090047644,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX1,ANT4,True,0.3176966874073318,119.35851960342369,16,23.904,9.183088494964194,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX1,ANT8,False,-23.51116668457676,7.569695911574439,16,23.904,84.99116634486515,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX1,ANT7,True,-3.640057811530106,75.42020514336255,16,23.904,14.36758816151409,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX1,ANT5,True,-0.1907834313485363,112.6847872982255,16,23.904,9.524932143215393,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx1-20260903T205249.133788Z/run.json
200,5727000000,TX2,ANT1,True,7.617739267833947,332.6834103287236,128,191.232,5.168437371689778,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx2-20260903T205301.723734Z/run.json
200,5727000000,TX2,ANT2,True,4.275512201964191,217.7463542178288,128,191.232,8.933382664879852,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5727000000-tx2-20260903T205301.723734Z/run.json
