dwell_us,frequency_hz,tx_channel,tx_port,cycle_us,theoretical_scans_per_second,frequency_difference_qualified,frequency_difference_search_objective,frequency_difference_error_hz,single_cycle_phase_rms_deg_maximum_port,single_cycle_phase_rms_deg_maximum_observable_port,single_cycle_phase_rms_deg_power_weighted_ports,phase_10deg_wall_latency_ms,phase_10deg_active_integration_ms,phase_10deg_cycles,phase_10deg_maximum_port_rms_deg,phase_10deg_maximum_observable_port_rms_deg,phase_10deg_power_weighted_rms_deg,observable_port_count,observable_ports,settled_after_selected_edge_us,phase_only_settled_after_selected_edge_us,decode_method,selector_clock_scale,selector_cycle_frequency_hz,decode_periodicity_score,decode_alignment_score,full_bearing_deg,full_bearing_valid,full_bearing_score,full_bearing_residual_phase_rms_deg,run_json
200,5731000000,0,TX1,1500,666.6666666666666,True,,,97.32231825975015,71.73622794109811,52.19248180200803,47.84,6.048,32,54.1180953679428,11.724490855821513,8.32409116388223,5,"ANT1,ANT2,ANT4,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.082054007524,0.03712569041739694,0.9345559817555282,89.0,False,0.3704161241212348,53.02268651842145,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5731000000-tx1-20260903T205436.640264Z/run.json
200,5731000000,1,TX2,1500,666.6666666666666,True,0.906692308377688,-1.8074000000000001,28.873559808155765,28.873559808155765,8.986872688185358,1.494,0.189,1,28.873559808155765,28.873559808155765,8.986872688185358,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",26.0,21.0,cyclostationary_coherent_fold,0.996,669.2615813857775,0.037898350713274825,0.8760866058657546,179.25,True,0.695148733979027,27.37903708858178,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5731000000-tx2-20260903T205449.270624Z/run.json
200,5732000000,0,TX1,1500,666.6666666666666,True,,,94.26974397685447,94.26974397685447,51.8246456520475,47.808,6.048,32,42.87197090163811,42.87197090163811,8.740162307186326,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.1999173406009,0.038099953080586765,0.9513090851018567,93.0,False,0.3640853587566347,59.594090192303575,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5732000000-tx1-20260903T205503.458807Z/run.json
200,5732000000,1,TX2,1500,666.6666666666666,True,0.922744726977441,-1.8076,26.159615455530954,26.159615455530954,7.9510836272707985,1.494,0.189,1,26.159615455530954,26.159615455530954,7.9510836272707985,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",12.0,11.0,cyclostationary_coherent_fold,0.996,669.2330975435707,0.040139168685039806,0.9593578063283416,179.25,True,0.7035170342924316,26.71360704698469,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5732000000-tx2-20260903T205516.343067Z/run.json
200,5733000000,0,TX1,1500,666.6666666666666,True,,,93.05481073394105,93.05481073394105,57.10712693414695,95.616,12.096,64,28.921672200033026,28.921672200033026,6.763106953916071,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2873674056044,0.03691662969698904,0.9424601266503098,93.25,False,0.3287336144005731,62.80910886274344,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5733000000-tx1-20260903T205530.473954Z/run.json
200,5733000000,1,TX2,1500,666.6666666666666,True,0.9238816982222967,-1.8072000000000001,24.381903300679653,24.381903300679653,8.011170998724364,1.494,0.189,1,24.381903300679653,24.381903300679653,8.011170998724364,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",12.0,6.0,cyclostationary_coherent_fold,0.996,669.2791883060133,0.04034193875375539,0.929297016162898,179.25,True,0.7089713621024148,26.59937893621093,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5733000000-tx2-20260903T205543.045350Z/run.json
200,5734000000,0,TX1,1500,666.6666666666666,True,,,92.18342459410027,92.18342459410027,54.24893681078449,47.808,6.048,32,44.4056589698811,44.4056589698811,9.273867838562799,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2142205016341,0.03796952115748949,0.9580739482025604,94.0,False,0.302755759566166,65.74127153333686,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5734000000-tx1-20260903T205557.065358Z/run.json
200,5734000000,1,TX2,1500,666.6666666666666,True,0.9126770075892624,-1.8078,25.54625577729576,25.54625577729576,8.77632424873991,1.494,0.189,1,25.54625577729576,25.54625577729576,8.77632424873991,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",24.0,16.0,cyclostationary_coherent_fold,0.996,669.1633073953708,0.03927335777971036,0.9522613428389712,179.0,True,0.7134762027417632,26.34792583709558,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5734000000-tx2-20260903T205609.326515Z/run.json
200,5735000000,0,TX1,1500,666.6666666666666,True,,,92.38344010615522,92.38344010615522,60.05856323518196,95.616,12.096,64,26.835585422724606,26.835585422724606,7.676109215047445,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2626557787506,0.03628562687484655,0.9245989063659433,99.75,False,0.2793168154279001,74.99070658809855,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5735000000-tx1-20260903T205623.440787Z/run.json
200,5735000000,1,TX2,1500,666.6666666666666,True,0.9133781945138248,-1.8082,24.854980935010637,24.854980935010637,8.85876778655501,1.494,0.189,1,24.854980935010637,24.854980935010637,8.85876778655501,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",19.0,17.0,cyclostationary_coherent_fold,0.996,669.1281399741388,0.03899154776725158,0.9398536977873998,179.0,True,0.720232698402811,26.077272057004947,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5735000000-tx2-20260903T205636.494590Z/run.json
