dwell_us,frequency_hz,tx_channel,tx_port,cycle_us,theoretical_scans_per_second,frequency_difference_qualified,frequency_difference_search_objective,frequency_difference_error_hz,single_cycle_phase_rms_deg_maximum_port,single_cycle_phase_rms_deg_maximum_observable_port,single_cycle_phase_rms_deg_power_weighted_ports,phase_10deg_wall_latency_ms,phase_10deg_active_integration_ms,phase_10deg_cycles,phase_10deg_maximum_port_rms_deg,phase_10deg_maximum_observable_port_rms_deg,phase_10deg_power_weighted_rms_deg,observable_port_count,observable_ports,settled_after_selected_edge_us,phase_only_settled_after_selected_edge_us,decode_method,selector_clock_scale,selector_cycle_frequency_hz,decode_periodicity_score,decode_alignment_score,full_bearing_deg,full_bearing_valid,full_bearing_score,full_bearing_residual_phase_rms_deg,run_json
200,5726000000,0,TX1,1500,666.6666666666666,True,,,101.39392744431305,72.44174669730727,46.53806653819685,23.904,3.024,16,90.60237178319075,16.421545307191003,9.4639626519761,5,"ANT1,ANT2,ANT4,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.175450534238,0.03195768133439758,0.9285481826856048,82.75,False,0.47569092109668,46.61345258015377,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx1-20260903T203633.180762Z/run.json
200,5726000000,1,TX2,1500,666.6666666666666,True,0.9252339939531732,-1.8078,27.278690928415568,27.278690928415568,7.730016468373531,1.494,0.189,1,27.278690928415568,27.278690928415568,7.730016468373531,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",14.0,11.0,cyclostationary_coherent_fold,0.996,669.1463971266708,0.039479517401469745,0.9685909835550613,181.25,True,0.6825035309177981,27.279571835064615,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5726000000-tx2-20260903T203645.608444Z/run.json
200,5750000000,0,TX1,1500,666.6666666666666,True,,,92.68414833648497,92.68414833648497,72.88915276292622,191.36,24.192,128,23.285753837223552,23.285753837223552,7.25587466142551,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.1006585814644,0.02634708753052188,0.8944039579626519,353.0,False,0.38539804144701234,67.72322208131979,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5750000000-tx1-20260903T203659.530217Z/run.json
200,5750000000,1,TX2,1500,666.6666666666666,True,0.8684281137103228,-1.8078,33.95856208675755,33.95856208675755,11.697579668090993,2.988,0.378,2,23.612599428741845,23.612599428741845,8.424767604869476,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",23.0,16.0,cyclostationary_coherent_fold,0.996,669.2169562903683,0.02880409788333761,0.8613047391907209,180.75,True,0.7722138192578757,20.187969607196806,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5750000000-tx2-20260903T203711.917917Z/run.json
200,5775000000,0,TX1,1500,666.6666666666666,True,,,90.47946112232829,90.47946112232829,67.06556185396215,95.616,12.096,64,20.113703107147224,20.113703107147224,7.81135880129882,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.194356894406,0.020296540041583825,0.9269805660975542,97.25,False,0.5096953988360429,45.65142900585591,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5775000000-tx1-20260903T203726.016268Z/run.json
200,5775000000,1,TX2,1500,666.6666666666666,True,0.7415304950033685,-1.8082,65.19870399706795,65.19870399706795,18.52794733008782,5.976,0.756,4,32.33416226057323,32.33416226057323,8.406625997019217,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2607777956816,0.02359984402564935,0.9271044983641045,182.75,True,0.7402786911576699,19.779873406300695,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5775000000-tx2-20260903T203738.333258Z/run.json
200,5800000000,0,TX1,1500,666.6666666666666,True,,,100.91066190739117,77.54294287091395,54.83141488835198,23.904,3.024,16,95.94700973803658,15.05998057050282,9.404910466271566,5,"ANT2,ANT4,ANT8,ANT7,ANT5",,18.0,cyclostationary_coherent_fold,0.996,669.3062815865214,0.02454337009691745,0.9680861125574104,84.25,True,0.6801664075624723,26.770650268595762,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5800000000-tx1-20260903T203752.259992Z/run.json
200,5800000000,1,TX2,1500,666.6666666666666,True,0.4704512485553334,-1.8042,87.74285455611788,87.74285455611788,32.97068933739525,11.952,1.512,8,45.30192743759958,45.30192743759958,8.14667319399485,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2862987323099,0.02123909247741458,0.9400413616733784,185.0,True,0.6047414121258137,30.82869786051836,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5800000000-tx2-20260903T203804.665374Z/run.json
200,5825000000,0,TX1,1500,666.6666666666666,True,,,77.44653811905323,77.44653811905323,45.327114166131366,47.808,6.048,32,15.513668430745394,15.513668430745394,7.423018470922347,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2295852293141,0.028408779174097686,0.9542334250865308,81.0,True,0.6135141832955061,33.9800854044324,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5825000000-tx1-20260903T203818.537820Z/run.json
200,5825000000,1,TX2,1500,666.6666666666666,True,0.7145061615254297,-1.8082,89.99705478462364,55.43352988968409,9.148851356533646,1.494,0.189,1,89.99705478462364,55.43352988968409,9.148851356533646,5,"ANT1,ANT2,ANT8,ANT7,ANT5",22.0,9.0,cyclostationary_coherent_fold,0.996,669.2456735845399,0.031080147266731785,0.9701049124294242,182.75,False,0.5036141359196513,60.29769498527069,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5825000000-tx2-20260903T203831.330478Z/run.json
200,5850000000,0,TX1,1500,666.6666666666666,True,,,91.24857869928982,91.24857869928982,48.86645450234222,47.808,6.048,32,32.21839623237774,32.21839623237774,7.9676593944731104,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2245701736447,0.054546611307736775,0.939761643306978,41.75,False,0.516954666653213,48.619689661250504,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5850000000-tx1-20260903T203845.516361Z/run.json
200,5850000000,1,TX2,1500,666.6666666666666,True,0.8954102275123178,-1.8078,44.92378174994851,44.92378174994851,7.20266589736878,1.494,0.189,1,44.92378174994851,44.92378174994851,7.20266589736878,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",24.0,15.0,cyclostationary_coherent_fold,0.996,669.2828772409706,0.0584258748274856,0.9535372064077495,183.0,False,0.49179388934182916,74.97889774873718,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5850000000-tx2-20260903T203858.173369Z/run.json
200,5874000000,0,TX1,1500,666.6666666666666,True,,,75.30388943933886,75.30388943933886,42.88855434304852,23.92,3.024,16,15.882233558256887,15.882233558256887,8.359393494433911,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.0626281740812,0.023614684851291593,0.9764188103730281,325.0,True,0.6448495717397116,37.23694101995022,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5874000000-tx1-20260903T203912.839715Z/run.json
200,5874000000,1,TX2,1500,666.6666666666666,True,0.7714735244707454,-1.8068000000000002,74.40155922479988,38.228749402780764,8.497487618810954,1.494,0.189,1,74.40155922479988,38.228749402780764,8.497487618810954,5,"ANT1,ANT2,ANT4,ANT7,ANT5",,11.0,cyclostationary_coherent_fold,0.996,669.1698347052044,0.023686816840959177,0.978226424534889,174.75,False,0.44256298587646337,67.19650196752512,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5874000000-tx2-20260903T203925.844320Z/run.json
