block,date,method,frequency_mhz,configuration,dwell_us,main_passes,main_attempts,control_passes,control_attempts,bracket_pass,clean_condition_pass,observable_ports
block-20260908T225855806955Z,2026-09-08,rolling_50ms,2475.0,A,25,0,3,3,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T225855806955Z,2026-09-08,rolling_50ms,2475.0,A,50,2,3,3,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T225855806955Z,2026-09-08,rolling_50ms,2475.0,A,100,3,3,3,3,True,True,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T225855806955Z,2026-09-08,rolling_50ms,2475.0,A,200,3,3,3,3,True,True,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T225855806955Z,2026-09-08,rolling_50ms,2475.0,A,1000,3,3,3,3,True,True,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T231415311061Z,2026-09-08,rolling_50ms,2475.0,B,25,0,3,6,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T231415311061Z,2026-09-08,rolling_50ms,2475.0,B,50,0,3,6,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T231415311061Z,2026-09-08,rolling_50ms,2475.0,B,100,2,3,6,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T231415311061Z,2026-09-08,rolling_50ms,2475.0,B,200,3,3,6,6,True,True,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260908T231415311061Z,2026-09-08,rolling_50ms,2475.0,B,1000,3,3,6,6,True,True,ANT1 ANT2 ANT4 ANT8 ANT7
block-20260909T170658793466Z,2026-09-09,rolling_50ms,915.0,A,200,3,3,3,3,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260909T170658793466Z,2026-09-09,rolling_50ms,915.0,A,1000,3,3,3,3,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T164249289170Z,2026-09-08,fixed_any_budget,5800.0,A,200,3,3,1,3,True,False,ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T164249289170Z,2026-09-08,fixed_any_budget,5800.0,A,1000,3,3,1,3,True,False,ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T222235133339Z,2026-09-08,fixed_any_budget,5811.0,A,25,0,3,2,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T222235133339Z,2026-09-08,fixed_any_budget,5811.0,A,50,0,3,2,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T222235133339Z,2026-09-08,fixed_any_budget,5811.0,A,100,0,3,2,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T222235133339Z,2026-09-08,fixed_any_budget,5811.0,A,200,1,3,2,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T222235133339Z,2026-09-08,fixed_any_budget,5811.0,A,1000,3,3,2,3,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T223136472639Z,2026-09-08,fixed_any_budget,5811.0,B,25,0,3,4,6,False,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T223136472639Z,2026-09-08,fixed_any_budget,5811.0,B,50,1,3,4,6,False,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T223136472639Z,2026-09-08,fixed_any_budget,5811.0,B,100,2,3,4,6,False,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T223136472639Z,2026-09-08,fixed_any_budget,5811.0,B,200,2,3,4,6,False,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T223136472639Z,2026-09-08,fixed_any_budget,5811.0,B,1000,2,3,4,6,False,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T224532349585Z,2026-09-08,fixed_any_budget,5811.0,D,25,0,3,3,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T224532349585Z,2026-09-08,fixed_any_budget,5811.0,D,50,0,3,3,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T224532349585Z,2026-09-08,fixed_any_budget,5811.0,D,100,0,3,3,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T224532349585Z,2026-09-08,fixed_any_budget,5811.0,D,200,0,3,3,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
block-20260908T224532349585Z,2026-09-08,fixed_any_budget,5811.0,D,1000,2,3,3,6,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5
