dwell_us,cycle_us,revisits_per_s,retained_us_per_visit,per_port_duty_percent,nominal_retained_ms_per_port_in_50ms,all_ports_retained_percent,trim_percent,guard_percent,marker_percent,samples_per_retained_visit_2msps,samples_per_retained_visit_5msps,samples_per_retained_visit_10msps
25,450,2222.222222222222,15,3.3333333333333335,1.6666666666666667,20.0,13.333333333333334,26.666666666666668,40.0,30,75,150
50,600,1666.6666666666667,40,6.666666666666667,3.3333333333333335,40.0,10.0,20.0,30.0,80,200,400
100,900,1111.111111111111,90,10.0,5.0,60.0,6.666666666666667,13.333333333333334,20.0,180,450,900
200,1500,666.6666666666666,190,12.666666666666666,6.333333333333333,76.0,4.0,8.0,12.0,380,950,1900
1000,6300,158.73015873015873,990,15.714285714285714,7.857142857142857,94.28571428571429,0.9523809523809523,1.9047619047619047,2.857142857142857,1980,4950,9900
