frequency_mhz,true_bearing_deg,fit_bearing_deg,ambiguity_margin_db,phase_residual_deg,legacy_gate_valid,reason,diameter_wavelengths
915,90,90.0,0.06274518241605428,4.318049099788191e-19,False,ambiguous_peak,0.15565768502421765
2475,90,90.0,0.4644431424638313,1.4148245878318655e-16,False,ambiguous_peak,0.4210412791638674
5800,90,90.0,2.6123704577774443,2.622330082782976e-17,True,,0.9866825935961335
5811,90,90.0,2.5497528084334,2.985608268906169e-19,True,,0.9885538881701954
