dwell_us,cycle_us,revisits_per_s,retained_per_visit_us,useful_per_port_percent,retained_per_port_per_50ms_ms,samples_per_visit_at_5msps
25,450,2222.222222222222,15,3.3333333333333335,1.6666666666666667,125
50,600,1666.6666666666667,40,6.666666666666667,3.3333333333333335,250
100,900,1111.111111111111,90,10.0,5.0,500
200,1500,666.6666666666666,190,12.666666666666666,6.333333333333333,1000
1000,6300,158.73015873015873,990,15.714285714285714,7.857142857142857,5000
