id,label,started_at,frequency_hz,configuration,status,switched_attempts,reference_attempts,restored,bracket_pass,observable_ports,unobservable_ports,recipe_bound
block-20260910T043304238564Z,5800 MHz / A / 04:33:04,2026-09-10T04:33:04.238601+00:00,5800000000,A,diagnostic-complete,9,12,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260910T043733496539Z,2475 MHz / A / 04:37:33,2026-09-10T04:37:33.496588+00:00,2475000000,A,diagnostic-complete,18,12,True,True,ANT1 ANT2 ANT4 ANT8 ANT5,ANT7,True
block-20260910T044450635209Z,2475 MHz / B / 04:44:50,2026-09-10T04:44:50.635243+00:00,2475000000,B,diagnostic-complete,21,24,True,False,ANT1 ANT2 ANT4 ANT8 ANT5,ANT7,True
block-20260910T045514538927Z,915 MHz / A / 04:55:14,2026-09-10T04:55:14.538979+00:00,915000000,A,diagnostic-complete,9,12,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T030034179397Z,5811 MHz / A / 03:00:34,2026-09-11T03:00:34.179446+00:00,5811000000,A,diagnostic-complete,18,12,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T030757473520Z,5811 MHz / B / 03:07:57,2026-09-11T03:07:57.473553+00:00,5811000000,B,diagnostic-complete,21,24,True,False,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
block-20260911T031816349144Z,5811 MHz / D / 03:18:16,2026-09-11T03:18:16.349174+00:00,5811000000,D,diagnostic-complete,21,24,True,True,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,True
