block,run_json,configuration,dwell_us,round,control,any_window_pass,first_phase_pass_ms,error,common_rotation_deg,gain_error_db,maximum_observable_gain_error_db,maximum_observable_phase_bias_deg,passed,raw_phase_bias_deg,relative_phase_bias_deg,weighted_phase_bias_deg,frequency_hz
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r1-A-200us-20260910T043408.695441Z/run.json,A,200,1,False,True,20.929775612288285,,-1.3561774723702202,"[-0.044484298330607214, -0.3145102650241361, -0.20178428581364025, -0.0247925826565177, -0.07219280486301047, -0.07118466552546623]",0.3145102650241361,5.931720240229117,True,"[-3.620258165618629, 1.7458227549432435, 0.535641606978287, 1.0742912640454256, 4.575542767858897, 0.9509555010821367]","[-2.2640806932484083, 3.102000227313464, 1.8918190793485072, 2.4304687364156456, 5.931720240229117, 2.307132973452357]",2.6175243964435477,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r1-A-200us-control-20260910T043417.851028Z/run.json,A,200,1,True,True,20.92772525988936,,-1.2820763706894642,"[-0.10538625444711439, -0.596019507960051, -0.284764551479317, -0.2171588621287882, -0.2853756330958041, -0.4288157268003406]",0.596019507960051,3.2101362986150215,True,"[-2.1584732077304385, -0.9800932597193325, -1.8710063967250397, 0.7644514689304326, 1.9280599279255577, 0.10626202437377213]","[-0.876396837040974, 0.301983110970132, -0.5889300260355752, 2.046527839619897, 3.2101362986150215, 1.3883383950632364]",1.3361388012548896,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r1-A-1000us-20260910T043432.559340Z/run.json,A,1000,1,False,True,25.115631510070124,,-0.8960548503484314,"[0.20121076977207147, -0.06254501648765179, 0.16318895603502842, 0.44063940025420545, 0.16255763366425086, -0.1627667129074933]",0.44063940025420545,4.616258304760715,True,"[-2.494503274493504, 1.8965567195284936, 0.31876654807293686, 0.8628553681531531, 3.7202034544122826, 0.351888134458484]","[-1.5984484241450723, 2.7926115698769247, 1.2148213984213683, 1.7589102185015844, 4.616258304760715, 1.2479429848069152]",1.8986978003021115,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r2-A-1000us-20260910T043441.713076Z/run.json,A,1000,2,False,True,25.119607176062306,,-1.4938970807270686,"[-0.23378004571258165, -0.2153944227199266, -0.2783730055216749, -0.15167758474669796, -0.2993030674576967, -0.23375199501081]",0.2993030674576967,3.00384749177921,True,"[-3.223462320566127, -1.1911959740941056, 0.9606593194053782, -0.19292916952966502, 1.5099504110521416, 1.0291683508813914]","[-1.7295652398390582, 0.3027011066329631, 2.454556400132447, 1.3009679111974037, 3.00384749177921, 2.52306543160846]",1.9545568559222104,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r2-A-200us-control-20260910T043456.400000Z/run.json,A,200,2,True,False,200.33061530681266,,3.714669892477614,"[-18.11600451676523, 12.914808105382981, -8.645801237626355, 0.47263293785998056, 3.52815773249779, -1.1134166239110117]",18.11600451676523,67.90218178289935,False,"[5.6134064569795665, -59.3532559141825, 66.46844168865708, -64.18751189042173, 29.908263321792404, -28.992697677972327]","[1.8987365645019525, -63.067925806660114, 62.753771796179464, -67.90218178289935, 26.19359342931479, -32.70736757044994]",38.742486398350096,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r2-A-200us-20260910T043505.473681Z/run.json,A,200,2,False,False,,,4.006662697310191,"[-15.984757503406184, 11.945364234140644, -8.064130449314627, -0.3654707210118035, 3.0436811764506593, -1.6055984515101995]",15.984757503406184,64.97962287983961,False,"[7.1982280665188405, -59.10427940076904, 57.42089401448544, -60.97296018252943, 27.662042290212113, -27.396721673795092]","[3.1915653692086505, -63.11094209807923, 53.41423131717525, -64.97962287983961, 23.655379592901923, -31.403384371105286]",35.50251957259349,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r3-A-200us-20260910T043514.660070Z/run.json,A,200,3,False,True,20.929430481610755,,-3.440244467866587,"[-0.2447289776977864, 0.27858386714650585, -0.29658145227033184, -0.09847609114541739, -0.4611192310246965, -0.4750675405683353]",0.4750675405683353,5.661213274000358,True,"[-5.187570860415139, -1.847873854396885, -1.8666888446254466, -1.6099971297293076, 2.2209688061337705, -2.421303180250703]","[-1.7473263925485518, 1.5923706134697027, 1.573555623241141, 1.8302473381372795, 5.661213274000358, 1.0189412876158845]",2.1262151860443352,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r3-A-1000us-20260910T043529.254929Z/run.json,A,1000,3,False,True,50.234843215313,,0.4021593420731871,"[0.32943517102113856, 0.33154275373624337, -0.030501092546466237, 0.30443964000957313, -0.058724233238370394, 0.12284865950419613]",0.33154275373624337,6.761068692278122,True,"[-1.9011695968927653, 5.641236575080186, 3.8995312947719003, 1.032773529642043, 7.163228034351309, 1.3266775798906478]","[-2.3033289389659526, 5.2390772330069995, 3.497371952698713, 0.6306141875688559, 6.761068692278122, 0.9245182378174606]",2.8932505711625427,5800000000
block-20260910T043304238564Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043304238564Z-r3-A-200us-control-20260910T043543.939725Z/run.json,A,200,3,True,True,20.93336892277595,,-0.8319323083708217,"[-0.13460138531754773, -0.22230319368282458, -0.2909421379976147, -0.0018385919868004594, 0.025592679590731596, -0.3233647215669553]",0.3233647215669553,4.52377681017531,True,"[-1.9267749918830228, -1.367983091584937, 0.44992949590844905, -0.1358957709983123, 3.6918445018044883, -0.2295621244218684]","[-1.0948426835122012, -0.536050783214115, 1.2818618042792709, 0.6960365373725095, 4.52377681017531, 0.6023701839489534]",1.4847912130902674,5800000000
block-20260910T043733496539Z,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/block-20260910T043733496539Z-r1-A-1000us-20260910T043839.581758Z/run.json,A,1000,1,False,False,,,-20.849155871303857,"[1.8773068156068675, -3.7048784754055646, 4.088650169064024, -12.034786190013826, 7.072662423092895, 0.5978301079701174]",12.034786190013826,131.2271769686651,False,"[-152.07633283996896, -20.888474932254642, 26.180689506782862, -5.242273623586022, -119.53906687392406, -144.0997733949041]","[-131.2271769686651, -0.039319060950782365, 47.02984537808672, 15.606882247717836, -98.68991100262019, -123.25061752360025]",58.99332961975282,2475000000
