epoch,frequency_hz,port,gain_db,magnitude_db,phase_relative_ant8_deg,phase_rms_10ms_deg,coherence,run_json,sha256
before,5811000000,ANT4,60,-51.84618348779022,-50.90199421345406,5.192490195114959,0.058696467205183324,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT4-20260908T222301.091267Z/run.json,cb6e784dd8cc842ef089791b4d4c20fdf80d982e12487d4a09ec77ba6b097001
before,5811000000,ANT8,60,-50.91786554632713,-2.0514783929970047e-15,4.872047157905893,0.06418432294884868,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT8-20260908T222315.002679Z/run.json,ac2b2b6eb5b7030c84cc4efd42f487c8a5e7b94a072d7e59ba115f5ffff70f66
before,5811000000,ANT7,60,-49.24500423974823,31.89560984727217,3.8497504436258434,0.07948270863766889,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT7-20260908T222327.806735Z/run.json,91fbbe9f5ce7b2ce832bd6178ec881b62d439fccd28401a68d376537c271b68f
before,5811000000,ANT5,60,-53.91963163805311,-3.902523661726493,6.6704526141113325,0.04635534590323375,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT5-20260908T222340.920500Z/run.json,9692da4002d34c82890358de2f0ebcdfaf8af4dd14d78e7930ebb68615b492ce
after,5811000000,ANT1,60,-41.783588845127596,-64.22213366407269,2.20198342734252,0.10283867700333627,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT1-20260910T042841.587290Z/run.json,d3f6dc1cb9e37dc10632d52bdbc3db679371804eadf0e908b0fe264a1833cb06
after,5811000000,ANT2,60,-52.3377711276236,13.601482113941767,6.310092678085506,0.05440437038918509,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT2-20260910T042851.237338Z/run.json,d53161d7ce3f005c6e89179d903f3210b3dc6d16c939977fd984f7371ee41765
after,5811000000,ANT4,60,-51.11814213623524,-58.2924269290122,5.082925911477707,0.06372879077352062,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT4-20260910T042901.004732Z/run.json,a66ace76c62d768dd562e7c9123fbc1384e23c7d7a65b614f69b695f9c1afba4
after,5811000000,ANT8,60,-46.71323212655996,-0.0,3.236401493879854,0.10578393384008826,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT8-20260910T042910.926195Z/run.json,1bcd7847fc3f71c1c4b3931fac6ee11310fd585edfb38970080a112f9e861659
after,5811000000,ANT7,60,-51.94514060993932,-35.854719655122956,5.633440349590869,0.05596544596538704,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT7-20260910T042920.559176Z/run.json,fdf28c96a2536a537c436bf55fdc67b62b0668a8ff69ef26b60df09a25050cea
after,5811000000,ANT5,60,-50.389916574224586,3.330184483022414,4.676254116735902,0.06682115708659184,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-5811000000-static-ANT5-20260910T042930.560318Z/run.json,6377577b6eeb98438ddbc725caf41e86f06b1cd400566678ce4d4968b7828ac9
before,915000000,ANT1,50,-27.227031068401246,-105.23468877988894,0.4294762200690662,0.9306317441533712,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT1-20260909T170658.983016Z/run.json,8032570aa62fd0a33e579991a72e4974625321f73c423264a66ee98d0e5cd4b6
before,915000000,ANT2,50,-34.53105376075592,-132.4860606672137,0.6590586082676497,0.8926506235403482,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT2-20260909T170713.131123Z/run.json,0c4d803b5b227109d3c691f76220760bb4007e865bd708543c13fca716e6fe6e
