frequency_hz,tx_port,status,frequency_difference_qualified,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json
5853000000,TX1,analyzed,True,11.952,269.75,False,52.917728444193685,270.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5853000000-tx1-20260911T040819.346767Z/run.json
5853000000,TX2,analyzed,True,2.988,291.25,False,49.870735085627935,291.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5853000000-tx2-20260911T040828.286773Z/run.json
5854000000,TX1,analyzed,True,11.952,270.75,False,53.062668054933035,271.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5854000000-tx1-20260911T040837.358517Z/run.json
5854000000,TX2,analyzed,True,2.988,321.0,False,36.57068572499613,320.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5854000000-tx2-20260911T040846.420766Z/run.json
5855000000,TX1,analyzed,True,11.952,271.5,False,52.81808158058558,272.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5855000000-tx1-20260911T040855.383040Z/run.json
5855000000,TX2,analyzed,True,1.494,322.75,False,37.05110708281598,322.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5855000000-tx2-20260911T040906.157588Z/run.json
5856000000,TX1,analyzed,True,11.952,272.25,False,52.67655627002525,272.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5856000000-tx1-20260911T040915.464377Z/run.json
5856000000,TX2,analyzed,True,2.988,321.5,False,36.824355955556,321.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5856000000-tx2-20260911T040924.779383Z/run.json
5857000000,TX1,analyzed,True,11.952,273.0,False,51.823701138743075,273.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5857000000-tx1-20260911T040933.868020Z/run.json
5857000000,TX2,analyzed,True,1.494,322.75,False,38.50841131206929,322.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5857000000-tx2-20260911T040942.845170Z/run.json
5858000000,TX1,analyzed,True,11.952,273.75,False,52.392568835100775,274.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5858000000-tx1-20260911T040951.878851Z/run.json
5858000000,TX2,analyzed,True,1.494,322.5,False,39.160667908971085,322.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5858000000-tx2-20260911T041001.095320Z/run.json
5859000000,TX1,analyzed,True,11.952,274.0,False,51.3836656927813,274.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5859000000-tx1-20260911T041012.271413Z/run.json
5859000000,TX2,analyzed,True,1.494,322.75,False,39.38797011601128,322.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5859000000-tx2-20260911T041021.301693Z/run.json
5860000000,TX1,analyzed,True,11.952,274.5,False,52.118664035836126,275.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5860000000-tx1-20260911T041030.297450Z/run.json
5860000000,TX2,analyzed,True,2.988,321.25,False,39.16036360084092,321.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5860000000-tx2-20260911T041039.346037Z/run.json
5861000000,TX1,analyzed,True,47.808,275.0,False,50.22998386670041,275.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5861000000-tx1-20260911T041048.415260Z/run.json
5861000000,TX2,analyzed,True,2.988,322.5,False,40.22052012489302,322.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5861000000-tx2-20260911T041057.604366Z/run.json
5862000000,TX1,analyzed,True,11.952,275.5,False,52.68930316056983,275.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5862000000-tx1-20260911T041106.547902Z/run.json
5862000000,TX2,analyzed,True,2.99,322.5,False,40.96015956750852,322.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5862000000-tx2-20260911T041115.645812Z/run.json
5863000000,TX1,analyzed,True,11.952,275.75,False,52.99808188102562,276.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5863000000-tx1-20260911T041125.150360Z/run.json
5863000000,TX2,analyzed,True,1.494,322.5,False,41.47339758967639,322.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5863000000-tx2-20260911T041134.289911Z/run.json
5864000000,TX1,analyzed,True,11.952,88.25,False,68.4635175814468,87.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5864000000-tx1-20260911T041143.336155Z/run.json
5864000000,TX2,analyzed,True,1.494,322.5,False,41.88179796722547,322.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5864000000-tx2-20260911T041152.483316Z/run.json
5865000000,TX1,analyzed,True,11.952,89.0,False,71.09549078180153,88.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5865000000-tx1-20260911T041201.633150Z/run.json
5865000000,TX2,analyzed,True,2.988,322.25,False,42.283557761129615,322.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5865000000-tx2-20260911T041210.834551Z/run.json
5866000000,TX1,analyzed,True,23.904,89.25,False,66.84753488947996,88.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5866000000-tx1-20260911T041219.986328Z/run.json
5866000000,TX2,analyzed,True,2.99,322.25,False,43.0666653457487,322.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5866000000-tx2-20260911T041229.116504Z/run.json
5867000000,TX1,analyzed,True,47.808,89.5,False,72.24835234352581,89.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5867000000-tx1-20260911T041238.492813Z/run.json
5867000000,TX2,analyzed,True,2.99,322.25,False,43.51312925337645,322.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5867000000-tx2-20260911T041247.778037Z/run.json
5868000000,TX1,analyzed,True,23.904,90.75,False,72.95817806951632,90.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5868000000-tx1-20260911T041256.881193Z/run.json
5868000000,TX2,analyzed,True,2.988,321.5,False,43.359429459969455,321.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5868000000-tx2-20260911T041305.957775Z/run.json
5869000000,TX1,analyzed,True,11.952,91.5,False,72.67548993979915,90.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5869000000-tx1-20260911T041315.276732Z/run.json
5869000000,TX2,analyzed,True,2.988,321.75,False,45.26898031029734,321.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5869000000-tx2-20260911T041324.693053Z/run.json
5870000000,TX1,analyzed,True,23.904,92.0,False,72.31750909180754,91.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5870000000-tx1-20260911T041334.054664Z/run.json
5870000000,TX2,analyzed,True,2.988,322.0,False,46.32346287588874,321.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5870000000-tx2-20260911T041343.483622Z/run.json
5871000000,TX1,analyzed,True,23.904,92.75,False,73.77962524942937,92.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5871000000-tx1-20260911T041352.953708Z/run.json
5871000000,TX2,analyzed,True,2.988,240.75,False,46.5402318947155,321.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5871000000-tx2-20260911T041402.303145Z/run.json
5872000000,TX1,analyzed,True,23.904,93.0,False,75.0671456138771,92.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5872000000-tx1-20260911T041411.585343Z/run.json
5872000000,TX2,analyzed,True,2.988,322.0,False,46.13939579874953,322.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5872000000-tx2-20260911T041420.901077Z/run.json
5873000000,TX1,analyzed,True,,93.25,False,58.39651167003986,92.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5873000000-tx1-20260911T041430.171901Z/run.json
5873000000,TX2,analyzed,True,2.988,241.25,False,48.215514369573256,157.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5873000000-tx2-20260911T041439.643098Z/run.json
5874000000,TX1,analyzed,True,23.904,94.0,False,73.81134940831386,93.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5874000000-tx1-20260911T041448.999264Z/run.json
5874000000,TX2,analyzed,True,2.988,241.5,False,49.005184868968165,157.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5874000000-tx2-20260911T041458.288871Z/run.json
